Amount,Term,EmploymentType,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,DebtRatio,AccountAgeRatio
2000,12,Self employed,Debt consolidation,0,70,2,6,4,2,1,3,2,19.17,618,618,7,0.3089999998455,0.028571428163265314
13500,36,Self employed,Other,0,248,42,7,5,2,0,0,2,123.43,62788,0,0,4.650962962618447,0.16935483802679502
2000,24,Employed - full time,Other,0,-1,-1,0,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-0.00049999999975,1.000001000001
5000,60,Employed - full time,Other,0,97,6,5,4,1,0,1,1,35.2,0,0,0,0.0,0.06185566946540547
6500,48,Employed - full time,Other,0,105,6,46,26,2,15,4,20,58.52,18940,18940,7,2.9138461533978695,0.05714285659863946
1500,12,Employed - full time,Other,0,84,1,7,7,0,5,4,0,30.29,1158,1158,7,0.7719999994853333,0.01190476176303855
5000,48,Employed - full time,Other,0,137,9,17,10,1,9,2,7,66.24,14410,14410,7,2.8819999994236,0.06569343017742021
13500,48,Employed - full time,Other,0,148,2,13,5,2,0,2,8,72.54,10758,10758,0,0.7968888888298601,0.01351351342220599
6500,48,Employed - full time,Other,0,64,3,17,5,5,5,5,12,33.65,246,246,0,0.03784615384033136,0.04687499926757814
8000,48,Employed - full time,Home improvement,0,187,0,23,10,3,0,2,13,66.57,126951,42718,0,15.86887499801639,0.0
10000,36,Self employed,Car repair,0,378,10,8,5,1,0,1,3,141.75,114107,1624,0,11.410699998858929,0.026455026385039614
10000,60,Self employed,Furniture,0,351,1,15,13,0,0,4,2,66.6,41468,41468,0,4.14679999958532,0.0028490028408860316
6500,48,Employed - full time,Other,0,134,1,23,8,1,1,3,15,50.74,23339,23339,0,3.590615384062982,0.007462686511472489
5000,12,Employed - full time,Other,0,116,3,19,12,1,0,5,7,36.42,10489,10489,0,2.09779999958044,0.025862068742568373
2000,48,Retired,Other,0,162,4,15,10,0,4,2,5,52.13,5860,5860,0,2.929999998535,0.02469135787227557
9000,36,Employed - full time,Car,0,211,4,11,7,0,0,2,4,75.09,225926,7293,0,25.102888886099677,0.01895734588171874
20000,36,Employed - full time,Other,0,202,2,35,20,0,0,4,15,65.2,723490,146184,0,36.17449999819127,0.009900990049995098
20000,60,Employed - full time,Other,0,220,3,15,9,0,0,3,6,79.0,12685,12685,0,0.6342499999682875,0.013636363574380165
1000,36,Employed - full time,Other,0,158,0,77,22,5,9,9,55,45.82,75474,13640,7,75.473999924526,0.0
3000,60,Employed - full time,Home improvements,1,232,7,19,10,0,0,2,9,72.05,87366,10820,0,29.121999990292668,0.03017241366304994
13000,24,Employed - full time,Home improvements,0,188,3,26,9,1,0,3,17,66.54,315015,41361,0,24.231923075059083,0.015957446723630603
6500,48,Employed - full time,furniture,0,365,6,10,7,0,0,1,3,79.8,50291,13488,0,7.737076921886604,0.01643835611934697
10000,60,Employed - full time,Other,0,247,10,14,7,1,0,1,7,83.21,152686,22482,0,15.268599998473139,0.04048582979560393
3000,24,Employed - full time,Consolidation,1,172,5,8,8,0,0,1,0,48.38,4801,4801,0,1.600333332799889,0.02906976727285019
6500,48,Employed - full time,Other,0,140,1,27,11,2,8,5,16,62.78,6467,6467,7,0.9949230767700118,0.007142857091836735
6500,48,Employed - full time,Other,0,114,3,21,6,4,3,3,15,39.33,5213,5213,1,0.8019999998766153,0.026315789242843956
20000,60,Employed - full time,Furniture,0,144,5,29,8,4,0,2,21,54.83,30815,30815,0,1.5407499999229626,0.03472222198109568
6500,48,Employed - full time,Household,0,273,5,7,6,0,0,1,1,84.43,22677,13058,0,3.488769230232497,0.018315018247930335
20000,48,Self employed,home improvement,0,174,5,16,11,3,0,1,5,81.62,102319,20582,0,5.115949999744203,0.028735632018760737
6500,48,Employed - full time,Other,0,60,4,25,18,1,0,6,7,24.72,15511,15511,0,2.386307691940568,0.06666666555555557
8000,60,Employed - full time,Other,0,217,6,18,9,0,0,1,9,59.28,81044,1737,0,10.130499998733686,0.027649769457835163
10000,48,Self employed,Debt consolidation,0,301,37,14,10,0,0,0,4,97.21,155480,23238,0,15.5479999984452,0.1229235876314831
10000,60,Employed - full time,Other,0,169,6,8,7,0,0,2,1,50.38,10199,10199,0,1.01989999989801,0.03550295836980498
15000,30,Self employed,Other,0,216,1,19,9,1,0,4,10,69.47,16517,16517,0,1.1011333332599245,0.004629629608196159
15000,48,Self employed,Furniture,0,374,12,20,5,2,0,0,15,91.2,33114,33114,0,2.2075999998528264,0.03208556141153593
10000,60,Employed - full time,Consolidation,0,245,2,28,10,2,0,4,18,51.93,128021,49458,0,12.80209999871979,0.008163265272802998
6500,48,Employed - part time,Other,0,146,1,43,18,2,0,3,25,55.6,21850,21850,0,3.3615384610213015,0.0068493150215800346
6500,48,Employed - full time,Other,1,132,7,18,8,6,0,4,10,50.56,30269,30269,0,4.656769230052804,0.05303030262855832
5000,24,Employed - full time,Other,0,88,46,2,1,0,0,0,1,67.0,0,0,0,0.0,0.5227272667871902
1000,12,Employed - full time,Other,0,130,7,10,7,2,2,7,3,29.7,4137,4137,7,4.136999995863,0.05384615343195267
2000,24,Employed - full time,Other,0,108,5,21,14,1,0,3,7,40.71,5563,5563,0,2.7814999986092497,0.04629629586762689
1000,12,Employed - full time,Furniture,0,150,11,10,3,0,0,1,7,35.5,1244,1244,6,1.243999998756,0.07333333284444445
6500,48,Self employed,Other,1,153,15,8,6,0,2,0,2,87.12,9818,9818,7,1.5104615382291597,0.09803921504549533
6500,48,Employed - full time,Other,0,147,27,13,8,3,6,0,5,76.92,193320,715,7,29.74153845696284,0.18367346813827573
7000,48,Employed - full time,Car,0,167,1,51,28,3,9,4,23,41.53,216139,31118,7,30.876999995589,0.005988023916239378
2500,36,Self employed,car,0,147,8,10,8,1,6,1,2,89.8,323498,6910,7,129.39919994824032,0.05442176833726688
7500,36,Self employed,Car repair,0,64,6,2,2,0,0,1,0,35.0,0,0,0,0.0,0.09374999853515628
4000,24,Self employed,Car loan,0,234,7,18,14,0,11,1,4,66.35,8037,8037,7,2.0092499994976873,0.029914529786690045
6500,48,Employed - full time,furniture,0,37,17,3,3,0,0,0,0,24.33,9055,9055,0,1.3930769228626034,0.4594594470416366
10000,60,Employed - full time,Other,0,101,4,2,2,0,0,1,0,52.5,1026,1026,0,0.10259999998974,0.03960396000392119
5000,36,Employed - full time,debt consolidation,0,157,2,40,4,9,0,8,36,53.65,19931,19931,0,3.9861999992027597,0.01273885342204552
4000,24,Employed - full time,Other,0,152,2,233,18,60,1,62,215,21.23,23583,16675,7,5.895749998526063,0.01315789465027701
5000,18,Employed - full time,Other,0,51,1,6,6,0,1,1,0,33.17,1481,1481,7,0.29619999994075996,0.0196078427527874
1000,36,Employed - full time,Other,0,124,3,7,6,0,3,1,1,59.0,1798,1798,7,1.797999998202,0.024193548191987515
1000,18,Employed - full time,Other,1,253,3,13,6,1,0,2,7,84.46,6521,6521,0,6.520999993479,0.011857707463013014
5000,36,Employed - full time,debt consolidation,0,104,1,7,4,1,1,2,3,57.43,734,734,7,0.14679999997064,0.009615384522928995
5000,36,Employed - full time,Other,0,110,2,7,5,0,0,1,2,49.57,2641,2641,0,0.52819999989436,0.018181818016528926
1500,24,Employed - full time,Other,0,149,6,28,17,0,1,8,11,50.36,23184,23184,0,15.455999989695998,0.04026845610558083
15000,48,Employed - full time,Other,0,128,18,3,3,0,0,0,0,63.67,0,0,0,0.0,0.1406249989013672
7500,36,Employed - full time,Debt,0,153,1,30,22,3,0,6,8,46.83,59303,44668,0,7.9070666656123905,0.006535947669699688
6000,36,Employed - full time,Debts,0,208,2,10,10,0,0,1,0,72.1,69549,29262,2,11.591499998068082,0.009615384569156804
12500,60,Employed - full time,Other,0,124,20,6,6,0,1,0,0,73.5,554,554,7,0.0443199999964544,0.16129032127991677
10000,60,Employed - full time,Other,0,163,23,9,7,1,3,0,2,80.0,6997,6997,7,0.69969999993003,0.1411042936128571
10000,60,Employed - full time,home improvement,0,128,9,6,6,0,0,1,0,47.5,1270,1270,0,0.1269999999873,0.0703124994506836
10000,36,Employed - full time,Other,0,211,3,9,3,5,0,1,6,45.78,439,439,0,0.04389999999561,0.014218009411289055
2000,24,Employed - full time,Debt Consolidation,1,161,19,11,6,0,0,0,5,58.27,7050,7050,0,3.5249999982375,0.11801242162725205
500,12,Employed - full time,Other,0,226,6,22,15,2,0,2,7,31.82,17168,17168,0,34.335999931328,0.02654867244889968
20000,36,Employed - full time,other,0,401,65,5,4,0,0,0,1,157.2,12565,12565,0,0.6282499999685874,0.162094762688043
5000,60,Employed - full time,Home improvement,0,308,19,10,6,0,0,0,4,107.1,24611,24611,0,4.92219999901556,0.06168831148802496
5000,36,Employed - full time,Other,0,245,7,33,16,2,0,1,17,84.24,1772637,63414,0,354.5273999290945,0.028571428454810498
8000,36,Employed - full time,Other,0,20,20,1,1,0,0,0,0,20.0,0,0,0,0.0,0.9999999500000024
8000,36,Employed - full time,other,0,178,6,21,15,0,0,2,6,68.81,61922,17511,0,7.740249999032469,0.0337078649791693
6500,48,Employed - full time,Other,0,217,1,18,11,1,5,3,7,55.44,17100,17100,7,2.6307692303644967,0.004608294909639194
10000,48,Employed - full time,Car,0,174,7,17,13,0,7,1,4,65.94,1912,1912,7,0.19119999998088,0.04022988482626503
10000,60,Employed - full time,Home improvement,0,209,3,9,4,1,0,2,5,68.11,36234,36234,0,3.62339999963766,0.014354066916966187
5000,36,Employed - full time,Other,0,99,2,28,8,7,1,7,20,37.46,11267,11267,0,2.2533999995493197,0.020202019997959394
5000,60,Employed - full time,Home improvement,0,242,8,5,3,0,0,2,2,82.6,477,477,0,0.09539999998092,0.03305785110306673
5000,60,Employed - full time,Debt consolidation,0,143,7,9,5,0,1,1,4,76.56,5915,5915,7,1.1829999997634,0.04895104860873393
10000,60,Employed - full time,furniture,0,104,2,13,8,2,1,1,5,39.08,4783,4783,7,0.47829999995217,0.01923076904585799
8000,36,Employed - full time,Car repair,0,163,22,5,3,0,2,0,2,117.0,4625,4625,7,0.5781249999277344,0.13496932432534156
15000,36,Employed - full time,car,0,278,21,11,7,1,0,0,4,131.45,172901,955,0,11.526733332564884,0.07553956807359867
5000,36,Employed - full time,Debt consolidation,0,33,4,7,7,0,0,3,0,16.86,10885,10885,0,2.1769999995646,0.12121211753902675
7500,60,Employed - full time,Other,0,185,14,18,11,4,0,0,7,60.89,14715,14715,0,1.9619999997384,0.07567567526661798
10000,60,Employed - full time,Car,0,165,5,12,7,1,0,1,5,70.58,53466,10039,0,5.34659999946534,0.030303030119375577
15000,54,Employed - full time,Other,0,45,8,5,4,0,0,1,1,24.4,7764,7764,0,0.5175999999654933,0.1777777738271606
2000,24,Employed - full time,Other,0,58,3,4,3,1,0,1,1,31.75,1443,1443,0,0.7214999996392499,0.05172413703923902
17000,60,Employed - full time,Other,0,148,5,12,2,1,0,1,10,61.08,20086,20086,0,1.1815294116952042,0.03378378355551498
6500,48,Employed - full time,Other,0,180,5,27,16,3,10,3,11,81.0,43316,43316,7,6.663999998974769,0.02777777762345679
15000,60,Employed - full time,Other,0,246,5,18,10,1,3,3,8,55.39,21726,21726,7,1.44839999990344,0.020325203169409743
1000,24,Employed - full time,Other,0,237,3,27,11,3,1,4,16,55.19,14587,14587,0,14.586999985413,0.012658227794691022
7500,36,Employed - full time,Other,0,51,1,13,8,5,0,8,5,14.54,3381,3381,0,0.45079999993989334,0.0196078427527874
15000,60,Employed - full time,furniture,0,107,6,15,11,1,0,6,4,23.33,56509,56509,0,3.7672666664155154,0.056074765831076956
7500,48,Employed - full time,Other,0,77,2,6,5,1,0,1,1,28.0,4288,4288,0,0.5717333332571022,0.025974025636700968
8000,60,Employed - part time,Other,1,83,2,17,8,3,0,4,9,35.0,6645,6645,0,0.8306249998961719,0.02409638525185078
5000,60,Self employed,Other,0,301,5,6,6,0,1,3,0,76.5,7044,7044,7,1.4087999997182399,0.016611295625876096
7500,36,Employed - full time,Car,0,196,11,13,9,0,1,1,4,69.23,10490,10490,0,1.3986666664801777,0.056122448693252815
6500,48,Employed - full time,Other,0,281,1,15,10,0,5,5,5,90.13,1588,1588,7,0.24430769227010649,0.0035587188485454845
1000,24,Employed - full time,Home improvements,0,228,2,10,10,0,0,2,0,110.0,119340,16607,0,119.33999988066,0.008771929786088027
8000,54,Employed - full time,Car,0,135,13,5,4,0,2,0,1,68.6,12639,12639,7,1.5798749998025157,0.09629629558299041
5000,36,Employed - full time,Other,0,134,7,25,12,5,1,3,13,49.0,311774,90441,0,62.354799987529034,0.05223880558030742
20000,60,Employed - full time,Other,0,293,5,12,9,0,0,3,3,91.33,95793,32078,0,4.789649999760518,0.017064846358140456
10000,60,Employed - full time,Other,0,111,1,19,7,4,5,3,12,46.53,17773,17773,7,1.77729999982227,0.009009008927846767
15000,60,Employed - full time,Other,0,118,4,4,3,1,0,1,1,53.25,43307,43307,0,2.8871333331408575,0.033898304797471995
2500,24,Employed - full time,Other,0,102,11,5,2,3,0,1,3,34.8,181,181,0,0.07239999997104,0.10784313619761632
6500,48,Employed - part time,Emergency,0,42,0,4,4,0,0,2,0,17.75,0,0,0,0.0,0.0
5000,12,Employed - full time,Other,0,31,4,11,10,1,0,7,1,11.55,6037,6037,0,1.2073999997585199,0.12903225390218534
10000,60,Self employed,home improvement,0,200,17,13,11,0,0,0,2,77.23,62362,5383,0,6.23619999937638,0.084999999575
13000,24,Employed - full time,Other,0,174,2,16,11,1,0,5,5,50.62,12518,12518,0,0.9629230768490059,0.011494252807504294
1000,12,Self employed,Consolidation,0,53,1,6,6,0,2,3,0,23.83,29422,29422,7,29.421999970578,0.01886792417230332
1500,24,Employed - full time,Debt consolidation,0,251,2,11,6,1,0,2,5,81.27,3000,3000,0,1.9999999986666666,0.007968127458294312
10000,48,Employed - full time,car,0,151,4,8,4,1,2,2,4,68.0,1574,1574,0,0.15739999998426,0.026490066049734664
10000,36,Employed - full time,Car,0,30,2,6,6,0,0,3,0,11.67,625,625,0,0.06249999999375,0.06666666444444451
15000,60,Employed - full time,Other,0,143,5,8,6,0,0,2,2,51.25,9948,9948,0,0.6631999999557866,0.034965034720524237
4000,48,Employed - full time,Other,1,214,4,10,6,0,0,1,4,104.0,5890,5890,0,1.472499999631875,0.018691588697702856
6500,48,Self employed,Furniture,0,200,15,4,4,0,0,0,0,95.5,26,26,0,0.003999999999384616,0.07499999962500001
7500,36,Employed - full time,Wedding,0,228,7,3,2,1,0,1,1,100.33,0,0,0,0.0,0.030701754251308097
15000,60,Employed - full time,Other,0,382,18,16,7,0,0,0,9,93.06,53335,1879,0,3.555666666429622,0.047120418724815656
2000,24,Employed - full time,Consolidation,0,195,4,17,12,2,0,6,5,37.06,8312,8312,0,4.155999997922,0.020512820407626562
1000,24,Employed - full time,Other,0,73,25,6,4,0,3,0,2,58.83,1577,1577,7,1.576999998423,0.3424657487333459
7500,60,Employed - full time,Consolidation,0,223,1,30,18,0,0,6,12,58.43,88634,45432,0,11.81786666509095,0.004484304912626435
12000,48,Self employed,Other,0,133,4,9,5,0,0,1,4,82.22,11194,11194,0,0.9328333332555971,0.03007518774379558
15000,48,Employed - full time,Other,0,309,3,38,12,3,0,6,26,68.89,369240,28771,0,24.615999998358934,0.009708737832657806
8000,48,Employed - full time,Other,0,172,9,24,13,3,0,2,11,71.58,126952,3167,0,15.868999998016374,0.05232558109113034
3000,60,Employed - full time,Other,0,134,1,108,16,35,0,33,92,19.05,10779,10779,0,3.5929999988023336,0.007462686511472489
6500,48,Employed - full time,other,0,221,9,23,15,0,6,1,8,59.83,6510,6510,7,1.0015384613843787,0.04072398171618108
4000,24,Employed - full time,Holiday,0,46,2,7,6,0,1,2,1,18.86,1185,1185,7,0.29624999992593753,0.04347825992438566
20000,60,Employed - full time,Other,0,196,3,13,10,2,0,1,3,63.54,106512,6494,0,5.32559999973372,0.01530612237088713
9000,12,Employed - full time,Other,0,133,5,20,17,0,0,2,3,72.65,164745,28000,1,18.30499999796611,0.03759398467974448
600,12,Employed - part time,Other,0,114,4,33,20,6,1,15,13,29.15,66101,7293,7,110.16833314971944,0.03508771899045861
6500,48,Employed - full time,Other,0,85,2,32,16,13,4,21,16,20.44,11179,11179,7,1.7198461535815621,0.023529411487889278
2000,24,Self employed,Other,0,157,1,19,13,2,4,5,6,45.05,20550,20550,7,10.2749999948625,0.00636942671102276
5000,54,Self employed,Other,0,217,13,11,6,0,0,0,5,66.27,278915,13089,0,55.78299998884339,0.05990783382530952
2500,24,Employed - full time,Vets bills,0,146,2,35,20,4,11,7,15,49.91,15638,15638,7,6.25519999749792,0.013698630043160069
10000,48,Employed - part time,car,0,96,6,12,8,0,0,1,4,53.92,103758,12248,0,10.37579999896242,0.06249999934895834
16000,60,Employed - full time,Other,0,202,3,36,9,3,1,4,27,60.56,156480,13829,0,9.77999999938875,0.014851485074992649
1000,12,Employed - full time,Other,0,199,14,24,9,3,3,0,15,52.08,3771,3771,7,3.770999996229,0.07035175844044343
3000,24,Employed - full time,consolidation,0,-1,-1,0,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-0.0003333333332222222,1.000001000001
5000,60,Employed - full time,Other,0,312,5,11,7,3,0,2,4,75.18,10547,10547,0,2.10939999957812,0.016025640974276792
12000,60,Employed - full time,Debt consolidation,0,77,15,11,5,1,0,0,6,40.91,9980,9980,0,0.8316666665973611,0.19480519227525725
2000,24,Retired,Debt consolidation,0,135,1,15,8,1,2,3,7,52.27,1482,1482,7,0.7409999996294999,0.007407407352537723
15000,60,Self employed,Car,0,164,2,15,5,4,0,2,10,49.27,10386,10386,0,0.6923999999538399,0.012195121876859014
6000,48,Employed - full time,debt consolidation,1,101,19,13,7,0,0,0,6,49.31,9891,9891,0,1.6484999997252499,0.18811881001862565
8000,24,Employed - full time,Other,1,160,51,6,5,0,0,0,1,90.67,10422,10422,0,1.3027499998371561,0.3187499980078125
12000,60,Employed - full time,Other,0,266,14,16,9,0,0,0,7,69.56,122843,37301,0,10.23691666581359,0.052631578749505345
20000,60,Employed - full time,Other,0,167,1,43,15,1,3,4,28,46.98,13290,13290,7,0.664499999966775,0.005988023916239378
3000,60,Employed - full time,Other,0,110,0,22,14,2,0,8,8,38.73,257972,62492,0,85.99066663800312,0.0
5000,36,Self employed,Other,0,245,6,10,9,0,0,1,1,60.2,6221,6221,0,1.24419999975116,0.024489795818409
15000,60,Self employed,Other,0,86,8,20,10,1,0,1,10,39.45,4717,4717,0,0.3144666666457022,0.09302325473228774
11000,60,Employed - full time,Other,0,146,1,15,12,0,0,5,3,52.67,185307,25796,0,16.846090907559446,0.0068493150215800346
6500,48,Self employed,Other,0,295,1,15,12,2,0,3,3,65.33,11664,11664,0,1.7944615381854674,0.0033898304969836256
1000,24,Employed - full time,Other,0,172,2,50,6,17,0,16,44,37.78,230503,13353,0,230.502999769497,0.011627906909140076
5000,24,Employed - part time,Consolidation,0,78,4,57,13,5,1,4,44,42.26,19585,19585,0,3.9169999992166,0.0512820506245891
2000,24,Employed - full time,Other,0,88,1,6,5,0,4,1,1,59.0,1925,1925,7,0.96249999951875,0.011363636234504135
15000,36,Employed - full time,Car,0,260,12,17,7,1,0,0,10,75.12,26830,26830,1,1.7886666665474222,0.04615384597633136
1000,12,Employed - full time,Other,0,147,10,15,8,3,4,5,7,45.33,2308,2308,7,2.307999997692,0.0680272104215836
6500,48,Employed - full time,Other,0,192,3,7,5,0,0,1,2,101.29,1867,1867,0,0.28723076918657986,0.015624999918619792
10000,48,Employed - full time,Other,0,276,1,53,11,2,11,3,42,49.68,19590,19590,7,1.9589999998041,0.003623188392669607
1000,18,Self employed,Other,0,55,11,4,4,0,3,1,0,32.75,2323,2323,7,2.322999997677,0.19999999636363644
10000,60,Employed - full time,Other,0,116,5,7,5,0,0,3,2,48.43,1190,1190,0,0.1189999999881,0.043103447904280626
6500,48,Employed - full time,Other,0,134,1,13,12,0,7,4,1,40.42,4488,4488,7,0.6904615383553135,0.007462686511472489
4000,36,Employed - full time,Other,1,103,3,17,5,2,0,2,12,37.53,2060,2060,0,0.51499999987125,0.02912621330945424
10000,60,Employed - full time,Other,0,149,5,45,23,0,0,2,22,49.0,127881,26776,0,12.78809999872119,0.033557046754650696
3000,24,Employed - full time,Car,0,158,9,28,14,0,13,1,14,51.89,3511,3511,7,1.1703333329432222,0.05696202495593655
500,12,Employed - full time,Other,0,156,1,15,12,2,1,9,3,32.93,181200,18278,0,362.3999992752,0.006410256369165024
7500,60,Employed - full time,Other,0,137,6,24,17,1,0,5,7,52.38,205103,63182,0,27.34706666302039,0.04379562011828014
6500,48,Employed - full time,Other,0,67,13,7,4,1,1,0,3,31.14,190,190,7,0.02923076922627219,0.19402984785030078
3000,24,Employed - full time,Other,1,78,6,5,5,0,0,1,0,39.0,2476,2476,1,0.8253333330582222,0.07692307593688365
10000,60,Self employed,Debt consolidation,0,105,6,18,16,0,0,3,2,49.94,24394,24394,0,2.43939999975606,0.05714285659863946
10000,60,Employed - full time,Other,0,115,6,14,10,1,1,1,4,51.86,15355,15355,0,1.53549999984645,0.052173912589792065
6500,48,Employed - full time,Other,0,166,26,21,8,4,6,0,13,92.76,89056,14743,7,13.700923074815242,0.15662650508056322
18000,36,Employed - full time,Other,0,151,1,10,9,0,0,1,1,79.4,2844,2844,0,0.15799999999122222,0.006622516512433666
8000,48,Employed - full time,Other,0,199,11,8,7,0,0,1,1,71.0,23357,23357,0,2.919624999635047,0.05527638163177698
6500,48,Employed - full time,Other,0,277,1,18,14,2,0,2,4,86.0,415814,23,0,63.97138460554286,0.0036101082902162155
20000,60,Employed - full time,home improvements,0,177,3,14,6,4,0,3,8,73.5,190092,309,0,9.50459999952477,0.01694915244661496
10000,60,Employed - full time,new car,0,151,2,14,6,5,4,4,8,49.0,8190,8190,7,0.8189999999181,0.013245033024867332
500,12,Employed - full time,car,0,124,1,32,14,16,1,23,18,19.19,21850,21850,7,43.6999999126,0.008064516063995839
1000,12,Employed - full time,Other,0,106,6,14,10,0,7,1,4,38.79,5732,5732,7,5.731999994268,0.0566037730509078
12000,60,Employed - full time,Car,0,160,3,13,7,1,0,1,6,65.31,103383,1428,0,8.615249999282062,0.0187499998828125
15000,60,Employed - full time,Other,0,26,3,6,6,0,0,4,0,11.0,0,0,0,0.0,0.11538461094674572
10000,60,Employed - full time,Other,0,130,3,15,9,2,0,3,6,37.53,98853,1310,0,9.885299999011469,0.023076922899408287
6000,30,Employed - full time,Other,0,87,6,9,6,1,0,3,3,38.89,84269,9341,0,14.044833330992526,0.06896551644867223
2000,24,Employed - full time,Other,0,111,10,18,15,2,2,1,3,37.94,11340,11340,7,5.669999997164999,0.09009008927846766
10000,60,Employed - full time,Other,0,178,4,29,20,2,2,2,9,64.31,104372,24260,7,10.43719999895628,0.022471909986112867
10000,48,Employed - full time,Other,1,197,9,16,9,3,0,1,7,77.0,135698,4829,0,13.569799998643019,0.04568527895591229
1000,18,Employed - full time,Other,0,122,1,34,13,7,7,13,21,25.44,7091,7091,7,7.090999992909,0.008196721244289171
1000,12,Employed - full time,Car,0,2,2,1,1,0,0,1,0,2.0,0,0,0,0.0,0.99999950000025
500,12,Employed - full time,Other,0,164,3,31,9,1,1,4,22,45.81,2381,2381,7,4.761999990476,0.01829268281528852
1000,24,Employed - full time,Other,0,38,2,16,13,2,1,10,3,11.69,4206,4206,7,4.205999995794,0.05263157756232691
13000,48,Employed - full time,Other,0,193,3,8,8,0,0,2,0,67.38,104250,11170,0,8.019230768613905,0.015544041370238128
5000,36,Employed - part time,Other,0,138,4,21,6,7,4,6,15,32.24,3167,3167,7,0.63339999987332,0.028985507036336906
1500,36,Employed - full time,Other,1,136,8,26,8,5,4,4,18,50.5,1788,1788,0,1.1919999992053332,0.05882352897923876
5000,36,Employed - full time,Debt,0,166,2,38,25,2,0,14,13,41.63,20017,20017,3,4.00339999919932,0.012048192698504864
6500,48,Employed - full time,Other,0,74,4,10,9,0,0,3,1,28.7,170868,35032,0,26.2873846113404,0.05405405332359388
6000,60,Employed - full time,Other,1,54,21,8,3,2,0,0,5,35.88,945,945,0,0.15749999997375,0.38888888168724295
5000,36,Employed - part time,Other,0,215,3,13,7,1,0,2,6,60.54,22108,22108,0,4.42159999911568,0.013953488307193078
6500,48,Employed - full time,Other,0,167,5,15,10,1,3,2,5,39.67,2737,2737,7,0.421076923012142,0.02994011958119689
6500,60,Employed - full time,Other,1,217,18,22,12,0,1,0,10,90.09,12813,12813,0,1.9712307689275028,0.08294930837350549
6500,48,Employed - part time,Other,0,167,21,8,7,0,0,0,1,84.38,90689,5728,0,13.952153844007361,0.12574850224102693
8000,60,Employed - full time,Home improvement,1,192,4,12,5,1,0,1,7,84.5,1803,1803,0,0.2253749999718281,0.02083333322482639
3000,60,Employed - full time,Other,0,248,7,10,7,1,0,2,3,76.0,11306,11306,0,3.7686666654104446,0.02822580633779917
7500,60,Self employed,Other,0,85,2,22,12,1,0,5,10,37.5,16440,16440,0,2.191999999707733,0.023529411487889278
6500,48,Self employed,Other,0,124,1,9,7,0,4,2,2,60.56,14026,14026,7,2.1578461535141775,0.008064516063995839
6500,48,Employed - full time,Other,0,238,3,17,11,3,0,4,6,74.65,40941,40941,0,6.298615383646367,0.012605041963844361
6500,48,Employed - full time,Other,0,233,4,22,19,0,0,2,3,66.45,998042,76829,0,153.54492305330078,0.017167381900569177
6500,48,Employed - full time,Other,0,179,28,10,6,0,2,0,4,122.6,16399,16399,7,2.522923076534935,0.15642458013170626
12000,48,Employed - full time,Consolidation,0,181,5,13,8,2,0,4,5,39.62,12371,12371,0,1.030916666580757,0.0276243092396447
20000,60,Employed - full time,Other,0,119,3,25,19,0,0,3,6,43.76,21499,21499,0,1.0749499999462524,0.025210083821764002
6500,48,Employed - full time,Other,1,232,9,7,7,0,0,2,0,80.29,16909,735,0,2.6013846149844024,0.03879310328106421
18000,60,Employed - full time,debt consolidation,0,152,3,28,11,2,0,2,17,69.04,119574,17507,1,6.642999999630944,0.019736841975415514
2500,24,Employed - full time,Other,0,55,2,138,18,56,0,59,120,15.49,11737,11737,1,4.69479999812208,0.03636363570247935
9000,24,Self employed,Car,0,37,25,3,3,0,0,0,0,30.67,600,600,0,0.06666666665925926,0.6756756574141715
15000,60,Employed - full time,Home improvements,0,153,1,32,18,1,0,6,14,56.12,61710,7990,0,4.113999999725733,0.006535947669699688
10000,36,Employed - full time,Debt consolidation,0,162,7,15,8,2,2,1,7,51.2,19851,19851,0,1.98509999980149,0.04320987627648225
3000,60,Employed - full time,Vet bills,0,120,2,24,18,0,0,9,6,36.25,346202,14037,0,115.40066662819979,0.01666666652777778
1000,24,Employed - full time,Other,0,77,3,28,11,15,2,19,17,19.93,6666,6666,7,6.665999993334,0.03896103845505145
4500,24,Employed - full time,Other,0,151,2,12,3,1,0,2,9,74.83,18726,18726,0,4.161333332408592,0.013245033024867332
10000,60,Employed - part time,Other,0,251,25,8,6,0,0,0,2,118.62,4349,4349,0,0.43489999995650996,0.09960159322867891
7500,48,Self employed,car,0,180,94,5,2,0,0,0,3,117.6,0,0,0,0.0,0.5222222193209877
6500,48,Employed - full time,Other,0,110,5,11,5,2,2,1,6,43.27,5070,5070,7,0.7799999998799999,0.04545454504132232
12000,54,Employed - full time,Other,0,212,4,11,9,0,3,4,2,62.64,2286,2286,7,0.190499999984125,0.018867924439302245
2000,36,Employed - part time,Other,0,5,2,3,3,0,0,3,0,4.0,0,0,0,0.0,0.399999920000016
