Amount,Term,EmploymentType,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,DebtRatio,AccountAgeRatio
6500,48,Employed - full time,Other,0,225,3,12,5,1,0,2,7,64.25,152529,6921,0,23.465999996389844,0.013333333274074075
6500,48,Employed - full time,Other,0,194,3,27,15,1,2,5,12,56.52,60289,60289,0,9.27523076780381,0.015463917446062281
10000,60,Self employed,Other,0,176,1,14,8,1,1,2,6,46.86,33630,33630,7,3.3629999996636997,0.005681818149535124
500,12,Employed - full time,Other,0,95,3,33,13,6,10,7,20,37.33,11400,11400,7,22.7999999544,0.031578947036011086
15000,54,Employed - full time,New car,0,233,1,25,10,3,0,4,15,74.6,69025,16943,0,4.601666666359889,0.004291845475142294
15000,30,Employed - full time,Other,0,181,2,23,14,0,9,4,9,89.83,6109,6109,7,0.40726666663951555,0.011049723695857881
14000,48,Employed - full time,Other,0,246,6,25,16,1,0,1,9,49.28,33651,33651,0,2.4036428569711683,0.024390243803291693
1500,24,Employed - full time,Other,0,80,1,10,9,0,5,1,1,40.4,1933,1933,7,1.2886666658075554,0.012499999843750002
8000,60,Employed - full time,Other,0,268,3,41,19,3,0,4,22,88.59,148942,50953,0,18.61774999767278,0.0111940298089775
1500,18,Employed - full time,Other,0,87,2,21,17,0,4,5,4,31.1,5959,5959,7,3.972666664018222,0.02298850548289074
2000,36,Employed - full time,Other,0,151,12,15,6,0,6,0,9,62.8,5875,5875,7,2.93749999853125,0.07947019814920399
12000,60,Self employed,Other,0,454,8,29,16,3,4,1,13,125.14,206563,22103,7,17.213583331898867,0.017621145335636242
500,12,Employed - full time,Furniture,0,70,2,13,7,2,3,3,6,41.69,4009,4009,7,8.017999983964,0.028571428163265314
