UID,Amount,Term,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,EmploymentType_Employed - part time,EmploymentType_Retired,EmploymentType_Self employed,DebtRatio,AccountAgeRatio
2179885,3000,36,car,0,40,7,3,3,0,0,1,0,21.33,580,580,0,True,False,False,0.1933333332688889,0.17499999562500013
2183679,15000,48,Other,0,218,6,33,12,14,12,4,21,59.88,15770,15547,7,False,False,False,1.0513333332632444,0.027522935653564517
2186434,11000,36,Car,0,233,36,5,4,0,0,0,1,99.6,1276,1276,0,False,False,False,0.11599999998945454,0.1545064371051226
2190373,5000,24,Car repairs,0,87,65,3,2,0,1,0,1,72.33,993,993,7,False,False,True,0.19859999996028,0.7471264281939491
2200200,5000,36,Other,1,78,10,10,5,1,0,1,5,37.7,113858,859,0,False,False,False,22.77159999544568,0.12820512656147273
2211251,13791,36,Other,0,42,13,2,1,0,0,0,1,27.5,0,0,0,False,False,False,0.0,0.3095238021541952
2212501,9000,36,Car,0,-1,-1,0,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,False,False,True,-0.00011111111109876543,1.000001000001
2239561,5500,60,Other,0,139,1,2,2,0,0,1,0,70.0,0,0,0,False,False,False,0.0,0.007194244552559392
2244697,15000,48,Car,0,105,9,8,4,1,0,1,4,39.25,1646,1646,0,False,False,False,0.10973333332601777,0.0857142848979592
2250043,10000,36,car,0,306,34,8,3,1,0,0,5,103.0,0,0,0,False,False,False,0.0,0.11111111074800291
2267506,6500,60,Other,0,67,9,9,6,1,1,2,3,25.0,20024,20024,7,False,False,False,3.0806153841414434,0.1343283562040544
2268880,10000,36,Other,0,300,3,15,12,0,0,1,3,98.67,120135,637,0,False,False,True,12.01349999879865,0.009999999966666668
2274639,2000,36,Car,0,175,150,2,2,0,0,0,0,162.5,0,0,0,False,False,False,0.0,0.857142852244898
2275257,5000,48,Car,0,28,0,6,5,1,0,5,1,9.83,0,0,0,False,False,False,0.0,0.0
2280230,8000,48,Other,1,81,11,6,6,0,0,1,0,30.33,13818,13818,0,False,False,False,1.7272499997840938,0.1358024674592288
2293245,500,12,Other,0,307,16,18,5,1,2,0,13,109.5,5802,5802,7,True,False,False,11.603999976792,0.05211726367388513
2293397,10000,60,New car,0,260,2,43,19,5,0,7,24,54.4,205156,36202,0,False,False,False,20.51559999794844,0.007692307662721894
2297748,5000,60,Other,0,13,7,4,4,0,0,3,0,9.0,3297,3297,0,False,False,False,0.6593999998681199,0.5384614970414233
2303914,3000,24,Car,1,78,3,5,4,0,0,2,1,46.6,2448,2448,0,False,False,False,0.8159999997280001,0.038461537968441824
2305675,1000,24,Other,0,89,89,1,1,0,0,0,0,89.0,0,0,0,False,False,False,0.0,0.9999999887640451
2309648,11000,60,Other,0,155,8,13,12,1,0,3,1,35.69,101906,36414,0,False,False,True,9.264181817339619,0.05161290289281998
2337469,6000,48,Car,0,97,0,34,19,1,5,6,15,45.29,17097,17097,7,False,False,False,2.8494999995250834,0.0
2348068,7000,36,Car,0,329,13,26,16,3,0,0,10,119.27,20073,20073,0,False,False,False,2.8675714281617752,0.03951367769144779
2348514,10000,48,Car,1,209,11,9,4,2,0,1,5,73.11,9322,9322,0,False,False,False,0.9321999999067799,0.052631578695542684
2349320,10000,60,Car,0,62,3,7,5,1,2,2,2,33.57,0,0,0,False,False,True,0.0,0.04838709599375652
2352205,20000,60,car,0,254,13,32,19,1,0,0,13,107.41,220956,14333,0,False,False,False,11.04779999944761,0.051181102160704324
2355025,9000,36,Car,0,88,2,4,4,0,0,1,0,32.0,23070,23070,0,False,False,False,2.5633333330485186,0.02272727246900827
2356100,7500,36,Car,0,27,7,6,4,2,0,1,2,17.83,1401,1401,0,False,False,False,0.18679999997509333,0.2592592496570648
2361721,5000,36,Car,1,179,4,18,3,0,0,2,15,65.61,66776,407,0,False,False,False,13.35519999732896,0.02234636859024375
2374700,5000,48,Car,0,51,21,4,4,0,0,0,0,29.0,3461,3461,0,False,False,False,0.69219999986156,0.41176469780853536
2389892,500,12,Other,0,78,2,18,15,1,0,5,3,20.78,17328,17328,1,False,False,False,34.655999930688,0.02564102531229455
